SIRET;SIREN;NOMEN;NOMET;ETAT;CJ;SIEGE;PUB_PRIV;NATURE;DC;Libelle commune;DEP;REG;APET;A88;A17;EMPLOYEUR;Tranche d'effectif;latitude;longitude;result_label;result_score;result_score_next;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
19501861900013;195018619;LYCEE MARITIME & AQUACOLE DE CHERBOURG;;1;7331;1;PUBLIC;1;50129;Cherbourg-en-Cotentin;50;28;8532Z;85;OQ;1;de 11 à 49 salariés;49.634418;-1.626864;Cherbourg-en-Cotentin;0.5561741906873614;0.5049056643356643;municipality;50129;;Cherbourg-en-Cotentin;;50470;Cherbourg-en-Cotentin;50, Manche, Normandie;50129;;;;ok
19610001000012;196100010;LYCEE GENERAL ET TECHNOLOGIQUE ALAIN;;1;7331;1;PUBLIC;1;61001;Alen‡on;61;28;8531Z;85;OQ;1;de 50 à 299 salariés;50.737671;1.607681;Allée Prud Hon 62200 Boulogne-sur-Mer;0.19696105651105653;0.14753782369146004;street;62160_2852;;Allée Prud Hon;Allée Prud Hon;62200;Boulogne-sur-Mer;62, Pas-de-Calais, Hauts-de-France;62160;;;;ok
19610002800014;196100028;LYCEE POLYVALENT NAVARRELECLERC;;1;7331;1;PUBLIC;1;61001;Alen‡on;61;28;8531Z;85;OQ;1;de 50 à 299 salariés;50.737671;1.607681;Allée Prud Hon 62200 Boulogne-sur-Mer;0.19696105651105653;0.14753782369146004;street;62160_2852;;Allée Prud Hon;Allée Prud Hon;62200;Boulogne-sur-Mer;62, Pas-de-Calais, Hauts-de-France;62160;;;;ok
19610003600017;196100036;COLLEGE JEAN RACINE;;1;7331;1;PUBLIC;1;61001;Alen‡on;61;28;8531Z;85;OQ;1;de 50 à 299 salariés;50.737671;1.607681;Allée Prud Hon 62200 Boulogne-sur-Mer;0.19696105651105653;0.14753782369146004;street;62160_2852;;Allée Prud Hon;Allée Prud Hon;62200;Boulogne-sur-Mer;62, Pas-de-Calais, Hauts-de-France;62160;;;;ok
19610004400011;196100044;LYCEE PROFESSIONNEL MARCEL MEZEN;;1;7331;1;PUBLIC;1;61001;Alen‡on;61;28;8532Z;85;OQ;1;de 50 à 299 salariés;50.737671;1.607681;Allée Prud Hon 62200 Boulogne-sur-Mer;0.19696105651105653;0.14753782369146004;street;62160_2852;;Allée Prud Hon;Allée Prud Hon;62200;Boulogne-sur-Mer;62, Pas-de-Calais, Hauts-de-France;62160;;;;ok
19610006900018;196100069;LYCEE POLYVALENT MEZERAY-GABRIEL;;1;7331;1;PUBLIC;1;61006;Argentan;61;28;8531Z;85;OQ;1;de 300 à 999 salariés;48.441447;0.087588;Rue d'Argentan 61000 Alençon;0.4873596969696969;0.42548882352941175;street;61001_0130;;Rue d'Argentan;Rue d'Argentan;61000;Alençon;61, Orne, Normandie;61001;;;;ok
19610010100019;196100101;COLLEGE ROGER MARTIN DU GARD;;1;7331;1;PUBLIC;1;61038;BellÇ¦me;61;28;8531Z;85;OQ;1;de 11 à 49 salariés;44.037777;5.989938;Rue Bel Air 04190 Les Mées;0.19089427061310782;0.17514833655705994;street;04116_g8exj4;;Rue Bel Air;Rue Bel Air;04190;Les Mées;04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur;04116;;;;ok
19610012700014;196100127;COLLEGE HENRI DELIVET;;1;7331;1;PUBLIC;1;61074;Carrouges;61;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.467852;0.121396;Carrouges 61250 Valframbert;0.4248940259740259;0.3691539498432601;street;61497_qteoh5;;Carrouges;Carrouges;61250;Valframbert;61, Orne, Normandie;61497;;;;ok
19610014300011;196100143;LYCEE POLYVALENT AUGUSTE CHEVALIER;;1;7331;1;PUBLIC;1;61145;Domfront en Poiraie;61;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.580927;-0.655306;Domfront en Poiraie;0.5592257894736842;0.48516878787878787;municipality;61145;;Domfront en Poiraie;;61700;Domfront en Poiraie;61, Orne, Normandie;61145;;;;ok
19610016800018;196100168;COLLEGE GEORGES BRASSENS;;1;7331;1;PUBLIC;1;61153;Ecouch‚-les-Vall‚es;61;28;8531Z;85;OQ;1;de 11 à 49 salariés;49.569423;-1.420955;Hameau Es Vallons 50700 Montaigu-la-Brisette;0.20315181818181816;0.134697254174397;street;50335_B050;;Hameau Es Vallons;Hameau Es Vallons;50700;Montaigu-la-Brisette;50, Manche, Normandie;50335;;;;ok
19610017600011;196100176;COLLEGE CHARLES LEANDRE;;1;7331;1;PUBLIC;1;61163;La FerriÇùre-aux-Etangs;61;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.727986;-0.675478;Rue de la Ferrière aux Etangs 61800 Chanu;0.47913272727272727;0.475982798573975;street;61093_0039;;Rue de la Ferrière aux Etangs;Rue de la Ferrière aux Etangs;61800;Chanu;61, Orne, Normandie;61093;;;;ok
19610018400015;196100184;LYCEE GENERAL TECHNOLOGIQUE DES ANDAIN;;1;7331;1;PUBLIC;1;61168;La Fert‚ Mac‚;61;28;8531Z;85;OQ;1;de 50 à 299 salariés;49.050145;6.915638;Chemin de Fer 57510 Puttelange-aux-Lacs;0.1425336979969183;0.11756725055432372;street;57556_B051;;Chemin de Fer;Chemin de Fer;57510;Puttelange-aux-Lacs;57, Moselle, Grand Est;57556;;;;ok
